accession	ambiguous_bases	checkm_completeness	checkm_contamination	checkm_marker_count	checkm_marker_lineage	checkm_marker_set_count	checkm_strain_heterogeneity	coding_bases	coding_density	contig_count	gc_count	gc_percentage	genome_size	gtdb_genome_representative	gtdb_representative	gtdb_taxonomy	gtdb_type_designation	gtdb_type_designation_sources	gtdb_type_species_of_genus	l50_contigs	l50_scaffolds	longest_contig	longest_scaffold	lsu_23s_contig_len	lsu_23s_count	lsu_23s_length	lsu_23s_query_id	lsu_5s_contig_len	lsu_5s_count	lsu_5s_length	lsu_5s_query_id	lsu_silva_23s_blast_align_len	lsu_silva_23s_blast_bitscore	lsu_silva_23s_blast_evalue	lsu_silva_23s_blast_perc_identity	lsu_silva_23s_blast_subject_id	lsu_silva_23s_taxonomy	mean_contig_length	mean_scaffold_length	mimag_high_quality	mimag_low_quality	mimag_medium_quality	n50_contigs	n50_scaffolds	ncbi_assembly_level	ncbi_assembly_name	ncbi_assembly_type	ncbi_bioproject	ncbi_biosample	ncbi_contig_count	ncbi_contig_n50	ncbi_country	ncbi_date	ncbi_genbank_assembly_accession	ncbi_genome_category	ncbi_genome_representation	ncbi_isolate	ncbi_isolation_source	ncbi_lat_lon	ncbi_molecule_count	ncbi_ncrna_count	ncbi_organism_name	ncbi_protein_count	ncbi_refseq_category	ncbi_rrna_count	ncbi_scaffold_count	ncbi_scaffold_l50	ncbi_scaffold_n50	ncbi_scaffold_n75	ncbi_scaffold_n90	ncbi_seq_rel_date	ncbi_spanned_gaps	ncbi_species_taxid	ncbi_ssu_count	ncbi_strain_identifiers	ncbi_submitter	ncbi_taxid	ncbi_taxonomy	ncbi_taxonomy_unfiltered	ncbi_total_gap_length	ncbi_total_length	ncbi_translation_table	ncbi_trna_count	ncbi_type_material_designation	ncbi_ungapped_length	ncbi_unspanned_gaps	ncbi_wgs_master	protein_count	scaffold_count	ssu_contig_len	ssu_count	ssu_gg_blast_align_len	ssu_gg_blast_bitscore	ssu_gg_blast_evalue	ssu_gg_blast_perc_identity	ssu_gg_blast_subject_id	ssu_gg_taxonomy	ssu_length	ssu_query_id	ssu_silva_blast_align_len	ssu_silva_blast_bitscore	ssu_silva_blast_evalue	ssu_silva_blast_perc_identity	ssu_silva_blast_subject_id	ssu_silva_taxonomy	total_gap_length	trna_aa_count	trna_count	trna_selenocysteine_count
RS_GCF_000006745.1	37	99.86	0.03	1130	g__Vibrio (UID4878)	369	0	3485493	86.4143822779	2	1915376	47.4875583468	4033464	RS_GCF_001471585.2	f	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Vibrio;s__Vibrio cholerae	not type material	none	f	1	1	2961149	2961149	2961149	8	2884	NC_002505.1-#2	2961149	8	392	NC_002505.1	2883	5325	0	100	AE003852.2928143.2931031	Bacteria;Proteobacteria;Gammaproteobacteria;Vibrionales;Vibrionaceae;Vibrio;Vibrio cholerae O1 biovar El Tor str. N16961	2016732	2016732	t	f	f	2961149	2961149	Complete Genome	ASM674v1	n/a	PRJNA57623	SAMN02603969	none	none	none	2001-01-09	GCA_000006745.1	none	full	none	none	none	2	0	Vibrio cholerae O1 biovar El Tor str. N16961	3510	reference genome	25	none	none	none	none	none	2001/01/09	0	666	8	N16961	TIGR	243277	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Vibrionales;f__Vibrionaceae;g__Vibrio;s__Vibrio cholerae	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Vibrionales;f__Vibrionaceae;g__Vibrio;s__Vibrio cholerae;x__Vibrio cholerae O1;x__Vibrio cholerae O1 biovar El Tor;x__Vibrio cholerae O1 biovar El Tor str. N16961	0	4033464	11	98	none	4033464	0	none	3594	2	2961149	8	1540	2833	0	99.87	257615	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Vibrionales;f__Pseudoalteromonadaceae;g__Vibrio;s__cholerae	1540	NC_002505.1-#5	1541	2833	0	99.87	CP007653.3005158.3006707	Bacteria;Proteobacteria;Gammaproteobacteria;Vibrionales;Vibrionaceae;Vibrio;Vibrio cholerae	0	20	98	0
RS_GCF_000006765.1	0	99.68	0.11	813	o__Pseudomonadales (UID4488)	308	0	5616220	89.6529023352	1	4169320	66.5557329955	6264404	RS_GCF_001457615.1	f	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__Pseudomonas aeruginosa	not type material	none	f	1	1	6264404	6264404	6264404	4	2886	NC_002516.2	6264404	4	109	NC_002516.2	2886	5330	0	100	NDFU01000088.354.3265	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas aeruginosa	6264404	6264404	t	f	f	6264404	6264404	Complete Genome	ASM676v1	n/a	PRJNA57945	SAMN02603714	none	none	none	2006-07-07	GCA_000006765.1	none	full	none	none	none	1	28	Pseudomonas aeruginosa PAO1	5573	reference genome	13	none	none	none	none	none	2006/07/07	0	287	4	PAO1	PathoGenesis Corporation	208964	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__Pseudomonas aeruginosa	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;x__Pseudomonas aeruginosa group;s__Pseudomonas aeruginosa;x__Pseudomonas aeruginosa PAO1	0	6264404	11	63	none	6264404	0	none	5681	1	6264404	4	none	none	none	none	none	none	1531	NC_002516.2	1531	2828	0	100	JARJ01000075.3682.5217	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas aeruginosa PA99	0	20	63	1
RS_GCF_000006785.2	0	100	0	524	f__Streptococcaceae (UID545)	282	0	1585651	85.5982915441	1	713405	38.5117842319	1852433	RS_GCF_002055535.1	f	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus pyogenes	not type material	none	f	1	1	1852433	1852433	1852433	6	2907	NC_002737.2	1852433	6	109	NC_002737.2-#6	2907	5369	0	100	AE004092.1578237.1581146	Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus phage 370.4	1852433	1852433	t	f	f	1852433	1852433	Complete Genome	ASM678v2	n/a	PRJNA57845	SAMN02604089	none	none	none	2014-4-1	GCA_000006785.2	none	full	none	none	none	1	0	Streptococcus pyogenes M1 GAS	1693	reference genome	12	none	none	none	none	none	2014/04/01	0	1314	6	SF370	Univ. Oklahoma	160490	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus pyogenes	d__Bacteria;x__Terrabacteria group;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus pyogenes;x__Streptococcus pyogenes serotype M1;x__Streptococcus pyogenes M1 GAS	0	1852433	11	60	none	1852433	0	none	1776	1	1852433	6	1545	2846	0	99.935	4455633	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__	1545	NC_002737.2-#4	1545	2854	0	100	CP000829.267457.269002	Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus phage NZ131.3	0	20	60	0
RS_GCF_000006825.1	0	99.55	0	770	f__Pasteurellaceae (UID4933)	440	0	2007410	88.9223282349	1	912135	40.4048838376	2257487	RS_GCF_000754275.1	f	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Pasteurellaceae;g__Pasteurella;s__Pasteurella multocida	not type material	none	f	1	1	2257487	2257487	2257487	6	2896	NC_002663.1-#4	2257487	5	110	NC_002663.1	2896	5349	0	100	AE004439.544119.547017	Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Pasteurella;Pasteurella multocida subsp. multocida str. Pm70	2257487	2257487	t	f	f	2257487	2257487	Complete Genome	ASM682v1	n/a	PRJNA224116	SAMN02604085	none	none	none	2001-3-21	GCA_000006825.1	none	full	none	none	none	1	1	Pasteurella multocida subsp. multocida str. Pm70	2035	na	19	none	none	none	none	none	2001/03/21	0	747	6	Pm70	Univ. Minnesota	272843	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;g__Pasteurella;s__Pasteurella multocida	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;g__Pasteurella;s__Pasteurella multocida;sb__Pasteurella multocida subsp. multocida;x__Pasteurella multocida subsp. multocida str. Pm70	0	2257487	11	56	none	2257487	0	none	2032	1	2257487	6	1538	2817	0	99.74	4449272	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;g__Pasteurella;s__	1538	NC_002663.1-#3	1538	2841	0	100	AE004439.1690576.1692118	Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Pasteurella;Pasteurella multocida subsp. multocida str. Pm70	0	20	57	1
RS_GCF_000006845.1	0	99.82	0.21	956	g__Neisseria (UID3907)	479	0	1790997	83.1505040572	1	1134894	52.6896517144	2153922	RS_GCF_003315235.1	f	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__Neisseria;s__Neisseria gonorrhoeae	not type material	none	f	1	1	2153922	2153922	2153922	4	2894	NC_002946.2-#3	2153922	4	108	NC_002946.2-#3	2894	5345	0	100	AE004969.1116247.1119151	Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Neisseriaceae;Neisseria;Neisseria gonorrhoeae FA 1090	2153922	2153922	t	f	f	2153922	2153922	Complete Genome	ASM684v1	n/a	PRJNA57611	SAMN02604088	none	none	none	2005-2-14	GCA_000006845.1	none	full	none	none	none	1	0	Neisseria gonorrhoeae FA 1090	1886	reference genome	12	none	none	none	none	none	2005/02/14	0	485	4	FA 1090	Univ. Oklahoma	242231	d__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Neisseriales;f__Neisseriaceae;g__Neisseria;s__Neisseria gonorrhoeae	d__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Neisseriales;f__Neisseriaceae;g__Neisseria;s__Neisseria gonorrhoeae;x__Neisseria gonorrhoeae FA 1090	0	2153922	11	55	none	2153922	0	none	2142	1	2153922	4	1535	2835	0	100	666832	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Neisseriales;f__Neisseriaceae;g__Neisseria;s__cinerea	1535	NC_002946.2-#3	1535	2835	0	100	AE004969.1653421.1654971	Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Neisseriaceae;Neisseria;Neisseria gonorrhoeae FA 1090	0	20	54	0
RS_GCF_000006865.1	0	100	0	472	o__Lactobacillales (UID543)	265	0	2040099	86.240636053	1	835748	35.3293830839	2365589	RS_GCF_900099625.1	f	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus;s__Lactococcus lactis	not type material	none	f	1	1	2365589	2365589	2365589	6	2894	NC_002662.1-#6	2365589	7	102	NC_002662.1-#7	2894	5345	0	100	CP003132.2332936.2335836	Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Lactococcus;Lactococcus lactis subsp. cremoris A76	2365589	2365589	t	f	f	2365589	2365589	Complete Genome	ASM686v1	n/a	PRJNA57671	SAMN02603339	none	none	none	2001-3-21	GCA_000006865.1	none	full	none	none	none	1	0	Lactococcus lactis subsp. lactis Il1403	2277	reference genome	19	none	none	none	none	none	2001/03/21	0	1358	6	IL1403	INRA	272623	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus;s__Lactococcus lactis	d__Bacteria;x__Terrabacteria group;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus;s__Lactococcus lactis;sb__Lactococcus lactis subsp. lactis;x__Lactococcus lactis subsp. lactis Il1403	0	2365589	11	63	none	2365589	0	none	2383	1	2365589	6	1544	2852	0	100	15343	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus;s__	1544	NC_002662.1-#6	1544	2852	0	100	CP010050.2396703.2398254	Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Lactococcus;Lactococcus lactis subsp. lactis	0	20	61	0
RS_GCF_000006885.1	0	99.42	0.2	704	g__Streptococcus (UID576)	251	0	1853534	85.7783215987	1	857795	39.6972569026	2160842	RS_GCF_001457635.1	f	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus pneumoniae	not type material	none	f	1	1	2160842	2160842	2160842	4	2897	NC_003028.3	2160842	4	108	NC_003028.3	2897	5350	0	100	CHOS01000006.19394.22293	Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus pneumoniae	2160842	2160842	t	f	f	2160842	2160842	Complete Genome	ASM688v1	n/a	PRJNA224116	SAMN02604002	none	none	none	2008-7-3	GCA_000006885.1	none	full	none	none	none	1	0	Streptococcus pneumoniae TIGR4	2271	na	12	none	none	none	none	none	2008/07/03	0	1313	4	ATCC BAA-334;TIGR4	TIGR	170187	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus pneumoniae	d__Bacteria;x__Terrabacteria group;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus pneumoniae;x__Streptococcus pneumoniae TIGR4	0	2160842	11	58	none	2160842	0	none	2124	1	2160842	4	1543	2832	0	99.806	3290660	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__	1542	NC_003028.3	1541	2846	0	100	FQ312029.1843575.1845120	Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus pneumoniae INV200	0	20	58	0
RS_GCF_000006905.1	0	99.68	0	529	c__Alphaproteobacteria (UID3422)	308	0	3575974	89.0221852566	1	2699950	67.2139811653	4016947	RS_GCF_002858865.1	f	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Caulobacter;s__Caulobacter vibrioides	not type material	none	f	1	1	4016947	4016947	4016947	2	2784	NC_002696.2-#2	4016947	2	109	NC_002696.2-#2	2784	5142	0	100	CP001340.3792687.3795479	Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Caulobacter;Caulobacter crescentus NA1000	4016947	4016947	t	f	f	4016947	4016947	Complete Genome	ASM690v1	n/a	PRJNA57891	SAMN02604005	none	none	none	2002-3-6	GCA_000006905.1	none	full	none	none	none	1	0	Caulobacter crescentus CB15	3737	reference genome	6	none	none	none	none	none	2002/03/06	0	155892	2	CB15	TIGR	190650	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Caulobacter;s__Caulobacter vibrioides	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Caulobacter;s__Caulobacter vibrioides;x__Caulobacter vibrioides CB15	0	4016947	11	51	none	4016947	0	none	3704	1	4016947	2	1480	2712	0	99.73	2472702	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Caulobacter;s__vibrioides	1480	NC_002696.2-#2	1474	2723	0	100	CP001340.3796167.3797642	Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Caulobacter;Caulobacter crescentus NA1000	0	20	51	0
RS_GCF_000006925.2	6	99.7	0.21	1396	f__Enterobacteriaceae (UID5203)	314	0	4156470	86.0763084977	2	2446009	50.6544464127	4828820	RS_GCF_002950215.1	f	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia flexneri	not type material	none	f	1	1	4607202	4607202	4607202	7	2900	NC_004337.2	4607202	7	355	NC_004337.2-#6	2900	5356	0	100	AZOY01000095.125.3026	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Escherichia-Shigella;Shigella flexneri Shi06SX36	2414410	2414410	t	f	f	4607202	4607202	Complete Genome	ASM692v2	n/a	PRJNA62907	SAMN02603599	none	none	none	2011-8-3	GCA_000006925.2	none	full	none	none	none	2	7	Shigella flexneri 2a str. 301	4313	reference genome	22	none	none	none	none	none	2011/08/03	0	623	7	301	Microbial Genome Center of ChMPH	198214	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Shigella;s__Shigella flexneri	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Shigella;s__Shigella flexneri;x__Shigella flexneri 2a;x__Shigella flexneri 2a str. 301	0	4828820	11	97	none	4828820	0	none	5003	2	4607202	7	1538	2811	0	99.675	4318438	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Escherichia;s__coli	1537	NC_004337.2	1537	2839	0	100	AE005674.2726673.2728213	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Escherichia-Shigella;Shigella flexneri 2a str. 301	0	20	96	1
RS_GCF_000006945.2	0	100	0.04	1169	f__Enterobacteriaceae (UID5139)	340	0	4316092	87.1694231692	2	2586547	52.2388795211	4951383	RS_GCF_000006945.2	t	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Salmonella;s__Salmonella enterica	type strain of species	LPSN; DSMZ; StrainInfo	t	1	1	4857450	4857450	4857450	7	3087	NC_003197.2-#2	4857450	7	355	NC_003197.2-#2	3087	5701	0	100	CP013720.291225.294315	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Salmonella;Salmonella enterica subsp. enterica serovar Typhimurium	2475691	2475691	t	f	f	4857450	4857450	Complete Genome	ASM694v2	n/a	PRJNA57799	SAMN02604315	none	none	none	2016-1-13	GCA_000006945.2	none	full	none	none	none	2	8	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	4549	reference genome	22	none	none	none	none	none	2016/01/13	0	28901	7	LT2;ATCC 700720;SGSC 1412	Washington University Genome Sequencing Center	99287	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Salmonella;s__Salmonella enterica	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Salmonella;s__Salmonella enterica;sb__Salmonella enterica subsp. enterica;x__Salmonella enterica subsp. enterica serovar Typhimurium;x__Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	0	4951383	11	85	assembly from type material	4951383	0	none	4629	2	4857450	7	1538	2841	0	100	54877	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Salmonella;s__enterica	1538	NC_003197.2-#5	1538	2841	0	100	CP017617.4428514.4430070	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Salmonella;Salmonella enterica subsp. enterica serovar Typhimurium	0	20	85	1
RS_GCF_000006965.1	10	99.28	0.31	1025	g__Ensifer (UID3566)	322	0	5756760	86.028440631	3	4160497	62.174140321	6691694	RS_GCF_006539625.1	f	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Sinorhizobium;s__Sinorhizobium meliloti	not type material	none	f	1	1	3654135	3654135	3654135	3	2851	NC_003047.1-#3	3654135	3	107	NC_003047.1-#3	2851	5265	0	100	ATTK01000154.2548.5404	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Ensifer;Sinorhizobium meliloti MVII-I	2230564	2230564	t	f	f	3654135	3654135	Complete Genome	ASM696v1	n/a	PRJNA57603	SAMEA3283068	none	none	none	2003-5-6	GCA_000006965.1	none	full	none	none	none	3	0	Sinorhizobium meliloti 1021	6218	reference genome	9	none	none	none	none	none	2003/05/06	0	382	0	1021	MELILO	266834	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Sinorhizobium;s__Sinorhizobium meliloti	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;x__Sinorhizobium/Ensifer group;g__Sinorhizobium;s__Sinorhizobium meliloti;x__Sinorhizobium meliloti 1021	0	6691694	11	54	none	6691694	0	none	6303	3	3654135	3	1481	2736	0	100	4472090	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Sinorhizobium;s__	1481	NC_003047.1-#3	1481	2736	0	100	FNYP01000121.228.1716	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Ensifer;Ensifer meliloti	0	20	55	1
RS_GCF_000006985.1	7	98.9	0.55	272	k__Bacteria (UID2570)	182	0	1879718	87.2280790331	1	1218183	56.5298136049	2154946	RS_GCF_000006985.1	t	d__Bacteria;p__Bacteroidota;c__Chlorobia;o__Chlorobiales;f__Chlorobiaceae;g__Chlorobaculum;s__Chlorobaculum tepidum	type strain of species	LPSN; DSMZ; StrainInfo	t	1	1	2154946	2154946	2154946	2	2912	NC_002932.3-#2	none	0	none	none	2912	5378	0	100	AE006470.141464.144378	Bacteria;Bacteroidetes;Chlorobia;Chlorobiales;Chlorobiaceae;Chlorobium;Chlorobium tepidum TLS	2154946	2154946	f	f	t	2154946	2154946	Complete Genome	ASM698v1	n/a	PRJNA57897	SAMN02604006	none	none	none	2002-7-2	GCA_000006985.1	none	full	none	none	none	1	0	Chlorobium tepidum TLS	2245	reference genome	6	none	none	none	none	none	2002/07/02	0	1097	2	TLS	TIGR	194439	d__Bacteria;p__Chlorobi;c__Chlorobia;o__Chlorobiales;f__Chlorobiaceae;g__Chlorobaculum;s__Chlorobaculum tepidum	d__Bacteria;x__FCB group;x__Bacteroidetes/Chlorobi group;p__Chlorobi;c__Chlorobia;o__Chlorobiales;f__Chlorobiaceae;g__Chlorobaculum;s__Chlorobaculum tepidum;x__Chlorobaculum tepidum TLS	0	2154946	11	50	assembly from type material	2154946	0	none	2009	1	2154946	2	1496	2763	0	100	143100	k__Bacteria;p__Chlorobi;c__Chlorobia;o__Chlorobiales;f__Chlorobiaceae;g__Chlorobaculum;s__	1498	NC_002932.3-#2	1497	2765	0	100	AE006470.2035328.2036829	Bacteria;Bacteroidetes;Chlorobia;Chlorobiales;Chlorobiaceae;Chlorobaculum;Chlorobium tepidum TLS	0	20	50	0
RS_GCF_000007025.1	0	99.46	0.33	673	g__Rickettsia (UID3817)	101	0	1020093	80.4011018676	1	411569	32.4388081229	1268755	RS_GCF_001951015.1	f	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Rickettsiaceae;g__Rickettsia;s__Rickettsia rickettsii	type strain of species	LPSN; DSMZ; StrainInfo	f	1	1	1268755	1268755	1268755	1	2749	NC_003103.1	1268755	1	109	NC_003103.1	2749	5077	0	100	AE006914.281797.284557	Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Rickettsiaceae;Rickettsia;Rickettsia conorii str. Malish 7	1268755	1268755	t	f	f	1268755	1268755	Complete Genome	ASM702v1	n/a	PRJNA224116	SAMN02603141	none	none	none	2002-11-25	GCA_000007025.1	none	full	none	none	none	1	1	Rickettsia conorii str. Malish 7	1499	representative genome	3	none	none	none	none	none	2002/11/25	0	781	1	Malish 7	CNRS	272944	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Rickettsiaceae;g__Rickettsia;s__Rickettsia conorii	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Rickettsiaceae;x__Rickettsieae;g__Rickettsia;x__spotted fever group;s__Rickettsia conorii;x__Rickettsia conorii str. Malish 7	0	1268755	11	33	assembly from type material	1268755	0	none	1435	1	1268755	1	1494	2699	0	99.264	1732283	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Rickettsiaceae;g__Rickettsia;s__	1494	NC_003103.1	1494	2760	0	100	AE006914.884601.886108	Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Rickettsiaceae;Rickettsia;Rickettsia conorii str. Malish 7	0	20	33	0
RS_GCF_000007045.1	0	99.56	0.21	761	g__Streptococcus (UID584)	238	0	1745638	85.6286253167	1	809656	39.7159836458	2038615	RS_GCF_001457635.1	f	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus pneumoniae	not type material	none	f	1	1	2038615	2038615	2038615	4	2897	NC_003098.1-#4	2038615	4	108	NC_003098.1-#4	2897	5350	0	100	AMCL01000051.2447.5365	Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus pneumoniae CCCB	2038615	2038615	t	f	f	2038615	2038615	Complete Genome	ASM704v1	n/a	PRJNA57859	SAMN02603218	none	none	none	2002-11-25	GCA_000007045.1	none	full	none	none	none	1	0	Streptococcus pneumoniae R6	1814	reference genome	12	none	none	none	none	none	2002/11/25	0	1313	4	R6	Eli Lilly and Company	171101	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus pneumoniae	d__Bacteria;x__Terrabacteria group;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus pneumoniae;x__Streptococcus pneumoniae R6	0	2038615	11	58	none	2038615	0	none	1992	1	2038615	4	1543	2826	0	99.741	3290660	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__	1542	NC_003098.1-#4	1542	2848	0	100	LNCA01000062.3337.4890	Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus pneumoniae	0	20	58	0
